,UN,life_expectancy1,_expectancyx1000,birthrate10000,fer_rate,fer_ratex1000
1965,3329122479,53,53261,334,5.025,5025
1966,3397475247,54,54100,334,4.996,4996
1967,3468521724,55,54919,334,4.951,4951
1968,3541674891,56,55680,334,4.891,4891
1969,3616108749,56,56364,334,4.818,4818
1970,3691172616,57,56964,308,4.731,4731
1971,3766754345,57,57490,308,4.63,4630
1972,3842873611,58,57969,308,4.517,4517
1973,3919182332,58,58425,308,4.397,4397
1974,3995304922,59,58865,308,4.273,4273
1975,4071020434,59,59294,284,4.151,4151
1976,4146135850,60,59712,284,4.036,4036
1977,4220816737,60,60115,284,3.931,3931
1978,4295664825,61,60501,284,3.839,3839
1979,4371527871,61,60871,284,3.762,3762
1980,4449048798,61,61231,279,3.7,3700
1981,4528234634,62,61585,279,3.653,3653
1982,4608962418,62,61934,279,3.618,3618
1983,4691559840,62,62277,279,3.588,3588
1984,4776392828,63,62614,279,3.561,3561
1985,4863601517,63,62938,273,3.532,3532
1986,4953376710,63,63239,273,3.494,3494
1987,5045315871,64,63513,273,3.446,3446
1988,5138214688,64,63758,273,3.387,3387
1989,5230000000,64,63976,273,3.318,3318
1990,5320816667,64,64171,247,3.24,3240
1991,5408908724,64,64349,247,3.156,3156
1992,5494899570,65,64520,247,3.073,3073
1993,5578865109,65,64695,247,2.994,2994
1994,5661086346,65,64881,247,2.923,2923
1995,5741822412,65,65083,225,2.861,2861
1996,5821016750,65,65305,225,2.81,2810
1997,5898688337,66,65545,225,2.766,2766
1998,5975303657,66,65803,225,2.729,2729
1999,6051478010,66,66079,225,2.698,2698
2000,6127700428,66,66376,212,2.672,2672
2001,6204147026,67,66694,212,2.651,2651
2002,6280853817,67,67030,212,2.634,2634
2003,6357991749,67,67382,212,2.62,2620
2004,6435705595,68,67746,212,2.607,2607
2005,6514094605,68,68119,203,2.595,2595
2006,6593227977,68,68497,203,2.583,2583
2007,6673105937,69,68879,203,2.572,2572
2008,6753649228,69,69258,203,2.562,2562
2009,6834721933,70,69628,203,2.551,2551
2010,6916183482,70,69984,194,2.541,2541
2011,6997998760,70,70319,194,2.531,2531
2012,7080072417,71,70631,194,2.521,2521
2013,7162119434,71,70920,194,2.512,2512
2014,7243784000,71,71185,194,2.503,2503
2015,7349472000,71,71429,169,2.494,2494
